Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Volt,Sim.Device,Sim.Pins,MANUFACTURER,STANDARD
"C1, C2, C3, C4",4,10nF,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,,,tht,Unpolarized capacitor,,,,,
"C10, C9",2,22uF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"Polarized capacitor, US symbol",[C10]63V; [C9]50V,,,,
"C11, C12, C6, C8",4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,
C13,1,10uF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"Polarized capacitor, US symbol",50V,,,,
"C5, C7",2,1000uF,CP_Radial_D16.0mm_P7.50mm,,,,tht,"Polarized capacitor, US symbol",63V,,,,
D1,1,DF005S,Diode_Bridge_OnSemi_SDIP-4L,,,,smt,"Bridge Rectifier, 35V Vrms, 1.5A If, SMDIP-4",,,,,
"D2, D3",2,1N4148,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,"100V 0.15A standard switching diode, DO-35",,D,1=K 2=A,,
D4,1,Green,D_SOD-123,,,,smt,Light emitting diode,,,1=K 2=A,,
F1,1,75mA,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Fuse,,,,,
F2,1,200mA,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,"Resettable fuse, polymeric positive temperature coefficient",,,,,
FL1,1,RN102-0.3-02-22M,Choke_Schaffner_RN102-04-14.0x14.0mm,,,,tht,"Common mode choke, 300mA, 300VAC, 12mH, 1.1 ohm, RN-102",,,,,
"HS1, HS2",2,Heatsink,Heatsink_20x15x10mm_2xFixation1mm,,,,tht,Heatsink,,,,,
J1,1,230VAC,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,
J2,1,Power LED,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,,,
J3,1,40VDC,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,
"L1, L2",2,150uH/1R,L_Radial_D7.0mm_P3.00mm,,,,tht,Inductor with ferrite core,,,,,
R1,1,430,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,
R2,1,6K8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,
"R3, R7",2,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,
R4,1,68K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,
"R5, R6",2,3R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,
R8,1,680R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,
RV1,1,1K,Potentiometer_Bourns_3296W_Vertical,,,,tht,Trim-potentiometer,,,,,
T1,1,VPP36-560,TRIAD_VPP36-560,,,,tht,,,,,TRIAD,IPC-7251
T2,1,VPP36-280,TRIAD_VPP36-280,,,Yes,tht,,,,,TRIAD,IPC-7251
TP1,1,+VReg,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,
TP2,1,-VReg,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,
"U1, U2",2,LM317HVT,TO-220-3_Vertical,,,,tht,"1.5A 35V Adjustable Linear Regulator, TO-220",,,,,
