pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
166.713552,-121.331552,180.0,top,C1,,,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10nF,tht
118.5875,-72.32,90.0,top,C10,,,CP_Radial_D5.0mm_P2.00mm,22uF,tht
114.4675,-71.5025,-90.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
95.0275,-71.56,-90.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
94.333552,-107.663552,90.0,top,C13,,,CP_Radial_D5.0mm_P2.00mm,10uF,tht
155.68,-121.21,180.0,top,C2,,,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10nF,tht
150.99,-134.44,0.0,top,C3,,,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10nF,tht
161.363552,-130.461552,90.0,top,C4,,,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10nF,tht
133.55,-125.39,-90.0,top,C5,,,CP_Radial_D16.0mm_P7.50mm,1000uF,tht
145.21,-128.05,90.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
98.85,-125.067246,-90.0,top,C7,,,CP_Radial_D16.0mm_P7.50mm,1000uF,tht
109.61302,-128.04,90.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
90.92,-92.14,-90.0,top,C9,,,CP_Radial_D5.0mm_P2.00mm,22uF,tht
153.25,-127.87,0.0,top,D1,,,Diode_Bridge_OnSemi_SDIP-4L,DF005S,smt
97.59,-95.6475,90.0,top,D2,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
97.63,-90.8025,90.0,top,D3,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
125.36,-82.6775,90.0,top,D4,,,D_SOD-123,Green,smt
155.393552,-62.201552,180.0,top,F1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,75mA,tht
173.123552,-128.101552,180.0,top,F2,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,200mA,tht
109.8975,-76.6075,180.0,top,FL1,,,Choke_Schaffner_RN102-04-14.0x14.0mm,RN102-0.3-02-22M,tht
112.357468,-118.07,90.0,top,HS1,,,Heatsink_20x15x10mm_2xFixation1mm,Heatsink,tht
112.05,-100.87,90.0,top,HS2,,,Heatsink_20x15x10mm_2xFixation1mm,Heatsink,tht
163.8475,-65.67,90.0,top,J1,,,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,230VAC,tht
120.6,-81.605,0.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,Power LED,tht
88.915,-74.01,90.0,top,J3,,,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,40VDC,tht
122.80302,-122.99,180.0,top,L1,,,L_Radial_D7.0mm_P3.00mm,150uH/1R,tht
122.99302,-132.76,180.0,top,L2,,,L_Radial_D7.0mm_P3.00mm,150uH/1R,tht
172.003552,-121.241552,0.0,top,R1,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,430,smt
91.87,-87.52,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6K8,smt
100.92,-91.28,90.0,top,R3,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,220,smt
125.27,-77.51,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68K,smt
112.75302,-123.03,0.0,top,R5,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3R3,smt
112.70302,-132.78,0.0,top,R6,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3R3,smt
100.91,-108.08,90.0,top,R7,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,220,smt
97.83,-101.13,90.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,680R,smt
92.99,-83.13,0.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,1K,tht
156.953552,-94.083552,180.0,top,T1,,,TRIAD_VPP36-560,VPP36-560,tht
156.883552,-93.999552,180.0,top,T2,,,TRIAD_VPP36-280,VPP36-280,tht
106.460364,-106.990855,-90.0,top,U1,,,TO-220-3_Vertical,LM317HVT,tht
106.085064,-89.775,-90.0,top,U2,,,TO-220-3_Vertical,LM317HVT,tht
