Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,pn,Info,Volt,Sim.Device,Sim.Pins,Field6
A1,1,Arduino_Nano_v3.x,Arduino_Nano,,,,tht,Arduino Nano v3.x,,,,,,
"C1, C2, C3, C39",4,47uF,CP_EIA-7343-20_Kemet-V_Pad2.25x2.55mm_HandSolder,,,,smt,"Polarized capacitor, small US symbol",T491D476K020AT,  47uF 20V 700mΩ@100kHz ±10% CASE-D-7343 Tantalum Capacitors ROHS,,,,
C10,1,1u,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,,,,smt,Unpolarized capacitor,TAJB105K050RNJ,1uF 50V 7Ω@100kHz ±10% CASE-B-3528-21(mm) Tantalum Capacitors ROHS,,,,
"C101, C104, C106, C114, C115, C12, C13, C16, C17, C23, C24, C45, C46, C58, C60, C63, C7, C8",18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,
C102,1,100uF,CP_Radial_D10.0mm_P5.00mm,,,,tht,"Polarized capacitor, US symbol",,,63V,,,
C103,1,10uF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"Polarized capacitor, US symbol",,,50V,,,
C105,1,22uF,CP_Radial_D6.3mm_P2.50mm,,,,tht,"Polarized capacitor, US symbol",,,25V,,,
"C107, C108",2,1000uF,CP_Radial_D12.5mm_P5.00mm,,,,tht,"Polarized capacitor, US symbol",,,25V,,,
"C109, C110",2,10uF T,CP_EIA-3528-12_Kemet-T_HandSolder,,,,smt,"Polarized capacitor, US symbol",,,16V,,,
"C11, C22",2,470p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,CC0805GRNPO9BN471,  50V 470pF NP0 ±2% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,,
"C111, C41",2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,
"C112, C113",2,22uF,CP_Elec_4x3,,,,smt,Polarized capacitor,,,,,,
C14,1,6.8u,CP_EIA-3528-12_Kemet-T_HandSolder,,,,smt,"Polarized capacitor, small US symbol",TAJA685K020RNJ,6.8uF 2Ω 20V ±10% CASE-C-6032 Tantalum Capacitors ROHS,,,,
C15,1,2.2uF,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,,,,smt,"Polarized capacitor, small US symbol",MAL215371228E3,2.2uF 20V 5.9Ω ±10% 1206 Tantalum Capacitors ROHS,,,,
