pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
108.44,-121.96,-90.0,top,A1,,,Arduino_Nano,Arduino_Nano_v3.x,tht
73.4,-77.83,-90.0,top,C1,,,CP_EIA-7343-20_Kemet-V_Pad2.25x2.55mm_HandSolder,47uF,smt
128.355,-91.13,180.0,top,C10,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1u,smt
142.73,-131.6,0.0,top,C101,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
153.3,-109.9,180.0,top,C102,,,CP_Radial_D10.0mm_P5.00mm,100uF,tht
139.7,-134.65,-90.0,top,C103,,,CP_Radial_D5.0mm_P2.00mm,10uF,tht
150.59,-116.4,0.0,top,C104,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
130.89,-133.977621,-90.0,top,C105,,,CP_Radial_D6.3mm_P2.50mm,22uF,tht
135.57,-132.54,90.0,top,C106,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
197.1,-118.2,-90.0,top,C107,,,CP_Radial_D12.5mm_P5.00mm,1000uF,tht
172.63,-132.25,90.0,top,C108,,,CP_Radial_D12.5mm_P5.00mm,1000uF,tht
181.85,-121.4,180.0,top,C109,,,CP_EIA-3528-12_Kemet-T_HandSolder,10uF T,smt
110.795,-83.955,180.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,470p,smt
202.45,-129.65,180.0,top,C110,,,CP_EIA-3528-12_Kemet-T_HandSolder,10uF T,smt
72.65,-109.05,-90.0,top,C111,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uF,smt
209.8,-119.1,0.0,top,C112,,,CP_Elec_4x3,22uF,smt
183.5,-127.05,180.0,top,C113,,,CP_Elec_4x3,22uF,smt
204.5,-116.35,-90.0,top,C114,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
183.45,-130.7,0.0,top,C115,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
137.51,-118.0,90.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
127.2,-120.5,90.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
118.19,-114.53,-90.0,top,C14,,,CP_EIA-3528-12_Kemet-T_HandSolder,6.8u,smt
132.2,-121.82,0.0,top,C15,,,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,2.2uF,smt
122.425,-75.175,-90.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
112.095,-77.655,-90.0,top,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
167.58,-59.74,90.0,top,C18,,,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1000p,tht
117.325,-72.635,180.0,top,C19,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140p,smt
110.01,-90.47,180.0,top,C2,,,CP_EIA-7343-20_Kemet-V_Pad2.25x2.55mm_HandSolder,47uF,smt
117.475,-83.005,-90.0,top,C20,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47p,smt
119.935,-83.005,-90.0,top,C21,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47p,smt
132.285,-85.495,180.0,top,C22,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,470p,smt
144.275,-75.0175,-90.0,top,C23,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
133.815,-77.605,-90.0,top,C24,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
167.58,-68.33,90.0,top,C25,,,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1000p,tht
138.725,-72.595,180.0,top,C26,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140p,smt
